unit,base,witness,reading,tier,major,minor
129,ιακωβου,23,ιακοβου,orthographic,orthographic,vowel-interchange
129,ιακωβου,24,ιακοβου,orthographic,orthographic,vowel-interchange
133,συν,24,ουν,mechanical,mechanical,single-letter-slip
148,ταυτα·,12,ταυτα,mechanical,mechanical,single-letter-slip
148,ταυτα·,24,ταυτα,mechanical,mechanical,single-letter-slip
150,ηπιστουν,22,ηπιστον,mechanical,mechanical,single-letter-slip
150,ηπιστουν,24,ηπιστοιυ,mechanical,mechanical,minor-corruption
151,αυταις,12,αυτοις,mechanical,mechanical,single-letter-slip
151,αυταις,21,αυτας,mechanical,mechanical,single-letter-slip
151,αυταις,24,αυτοις,mechanical,mechanical,single-letter-slip
155,πορευομενοι,22,πορευομενα,mechanical,mechanical,minor-corruption
156,εξ,12,[om],substantive,substantive,omission
156,εξ,24,[om],substantive,substantive,omission
157,αυτων,12,εζαυτων,substantive,substantive,lexical-substitution
157,αυτων,24,εξαυτων,substantive,substantive,lexical-substitution
162,εις,12,εισ,mechanical,mechanical,single-letter-slip
165,σταδιους,24,οδαδιους,mechanical,mechanical,minor-corruption
167,απο,24,αστυ,substantive,substantive,lexical-substitution
168,ιερουσαλημημ,24,ιερουσαλημη,mechanical,mechanical,single-letter-slip
170,ουλαμμαους,21,ουλαμμους,mechanical,mechanical,single-letter-slip
170,ουλαμμαους,24,οιλαμμαους,mechanical,mechanical,single-letter-slip
186,συνζητειν,22,ζητειν,substantive,substantive,lexical-substitution
186,συνζητειν,24,ζητειν,substantive,substantive,lexical-substitution
191,συνεπορευετο,24,συνεστυρευετο,substantive,substantive,lexical-substitution
193,οι,24,ος,mechanical,mechanical,minor-corruption
198,του,12,τον,mechanical,mechanical,single-letter-slip
198,του,24,τον,mechanical,mechanical,single-letter-slip
200,επιγνωναι,24,επισνωιαι,mechanical,mechanical,minor-corruption
208,ουτοι,24,συτος,mechanical,mechanical,minor-corruption
210,αντιβαλλεται,24,βαλλεται,substantive,substantive,lexical-substitution
211,προς,12,προσ,mechanical,mechanical,single-letter-slip
